	idf_weights
00	6.064176061024286
000	4.049273040482021
003	7.162788349692395
01	6.757323241584231
012	7.85593553025234
013	7.85593553025234
02	6.46964116913245
024	7.85593553025234
029	7.85593553025234
03	6.939644798378185
033	7.85593553025234
037	7.85593553025234
04	6.351858133476067
044	7.450470422144176
045	7.85593553025234
047	7.85593553025234
0491	7.85593553025234
05	5.6046437316458455
050	7.85593553025234
06	5.841032509710076
067	7.85593553025234
07	7.450470422144176
070	7.85593553025234
079	7.85593553025234
081	7.85593553025234
089893	7.85593553025234
090	7.85593553025234
10	3.4614863755799017
100	4.421948325767194
1000	7.450470422144176
101	6.757323241584231
1019	7.85593553025234
102	6.939644798378185
103	6.064176061024286
1037	7.85593553025234
104	6.939644798378185
105	6.603172561756972
106	7.162788349692395
107	6.603172561756972
108	7.450470422144176
109	6.757323241584231
10908	7.85593553025234
10913	7.85593553025234
1093	7.85593553025234
11	3.839552509499952
110	6.151187438013915
1100	7.85593553025234
111	6.757323241584231
112	6.757323241584231
1125	7.85593553025234
113	6.603172561756972
114	6.603172561756972
115	6.24649761781824
116	6.757323241584231
117	5.6046437316458455
118	6.603172561756972
119	6.351858133476067
12	3.753292165215545
120	5.9841333533507495
121	6.46964116913245
1212	7.85593553025234
122	7.450470422144176
123	5.841032509710076
124	6.46964116913245
125	6.351858133476067
126	5.253245844807957
127	5.9841333533507495
128	5.71586936675607
1280	7.85593553025234
129	5.3710288804643405
13	3.9143537225826504
130	5.45804025745397
1300	7.85593553025234
131	5.330206885944085
132	5.6046437316458455
133	5.841032509710076
134	5.910025381197027
1346	7.85593553025234
135	6.24649761781824
1352	7.85593553025234
136	6.151187438013915
137	6.151187438013915
138	5.841032509710076
139	5.776493988572505
14	4.060446341080146
140	5.71586936675607
1401	7.85593553025234
1408	7.450470422144176
140b	7.85593553025234
140c	7.85593553025234
140f	7.85593553025234
140k	7.450470422144176
141	5.6046437316458455
1411	7.450470422144176
142	5.841032509710076
1429	7.85593553025234
143	6.151187438013915
144	6.351858133476067
145	5.910025381197027
146	5.841032509710076
147	7.450470422144176
148	6.939644798378185
149	6.939644798378185
15	3.78690877601453
150	6.351858133476067
1500	7.162788349692395
151	7.450470422144176
152	7.85593553025234
1521	7.85593553025234
153	6.939644798378185
154	7.450470422144176
155	7.450470422144176
156	7.162788349692395
157	7.450470422144176
158	7.450470422144176
159	6.757323241584231
16	2.6519288431755452
160	6.46964116913245
1600	7.85593553025234
161	6.939644798378185
1610	7.85593553025234
162	7.162788349692395
163	7.85593553025234
164	7.450470422144176
165	6.939644798378185
166	7.162788349692395
1669	7.85593553025234
167	7.162788349692395
168	6.757323241584231
1683810	7.85593553025234
169	6.939644798378185
16b	7.85593553025234
17	2.3146719850939146
170	6.603172561756972
171	7.85593553025234
172	6.46964116913245
173	7.85593553025234
175	7.162788349692395
1750	7.85593553025234
176	7.85593553025234
177	7.162788349692395
178	7.85593553025234
179	7.85593553025234
18	3.8216948920999454
180	6.24649761781824
181	7.450470422144176
182	7.85593553025234
183	7.450470422144176
184	6.939644798378185
1851	7.85593553025234
186	7.450470422144176
187	7.450470422144176
1874	7.85593553025234
1875	7.85593553025234
188	7.85593553025234
1888	7.85593553025234
189	7.85593553025234
18m	7.85593553025234
19	3.839552509499952
190	7.85593553025234
1902	7.85593553025234
1908	6.939644798378185
191	7.162788349692395
1910	7.85593553025234
1911	7.85593553025234
1916	7.85593553025234
1917	7.85593553025234
192	7.85593553025234
1920	7.450470422144176
1927	7.450470422144176
1928	7.85593553025234
193	7.85593553025234
1930	7.85593553025234
1932	7.85593553025234
1933	7.85593553025234
1937	7.85593553025234
1938	7.85593553025234
1943	2.872328908544004
1944	7.85593553025234
1946	7.162788349692395
1947	7.450470422144176
1948	7.450470422144176
195	7.85593553025234
1952	7.85593553025234
1954	7.450470422144176
1955	7.85593553025234
1956	7.450470422144176
1957	7.450470422144176
1958	6.757323241584231
1959	6.939644798378185
196	7.162788349692395
1960	7.85593553025234
1962	7.162788349692395
1963	7.450470422144176
1964	6.757323241584231
1966	6.351858133476067
1967	7.450470422144176
1968	6.757323241584231
197	7.85593553025234
1970	7.85593553025234
1971	7.450470422144176
1972	7.162788349692395
1973	7.85593553025234
1974	7.450470422144176
1975	6.603172561756972
1976	6.939644798378185
1977	6.757323241584231
1978	7.450470422144176
1979	7.162788349692395
198	7.450470422144176
1980	6.603172561756972
1981	6.939644798378185
1982	7.450470422144176
1983	6.064176061024286
1984	6.939644798378185
1985	6.064176061024286
1986	6.24649761781824
1987	5.9841333533507495
1988	6.351858133476067
1989	6.46964116913245
1990	5.776493988572505
1991	5.776493988572505
1992	5.553350437258295
1993	5.45804025745397
1994	5.413588494883136
1995	5.08334680801256
1996	4.8855210646826395
1997	4.61725707808796
1998	4.523731020077136
1999	4.454738148590185
19a	7.85593553025234
1a	6.351858133476067
1b	6.939644798378185
1b_175	7.85593553025234
1b_416	7.85593553025234
1b_548	7.85593553025234
1b_598	7.85593553025234
1b_633	7.85593553025234
1bei	7.85593553025234
1bis	7.85593553025234
1c	7.450470422144176
1c_106	7.85593553025234
1c_43	7.85593553025234
1c_549	7.85593553025234
1c_652	7.85593553025234
1d	7.85593553025234
1p	7.162788349692395
1ter	7.85593553025234
20	3.4614863755799017
200	5.553350437258295
2000	3.673885387611134
